	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	students	patients	research	research	health	lecture	system	team	exhibition	growth	years	food	cent	students	children
1	year	cancer	technology	team	public	public	project	law	chinese	year	chinese	chinese	survey	children	energy
2	programme	treatment	engineering	human	community	please	developed	competition	language	quarter	contributions	brand	tourism	school	graduates
3	programmes	study	system	cells	social	http	technology	teams	art	forecast	research	medicine	respondents	study	reading
4	education	risk	world	new	research	details	new	legal	works	rate	member	retail	last	respondents	study
5	business	disease	projects	genetic	care	chinese	team	respondents	public	estimated	education	research	virus	schools	smoking
6	new	blood	data	development	services	series	space	financial	conservation	increase	development	retailers	influenza	family	more
7	academic	clinical	development	scientists	support	visit	design	government	collection	grow	recognition	shoppers	hotel	parents	air
8	development	liver	systems	scientific	elderly	lectures	researchers	world	opening	current	members	value	hospitality	survey	pollution
9	student	early	information	cell	people	held	device	economic	culture	exports	degree	service	study	more	eye
10	industry	new	international	molecular	quality	invited	special	international	display	expected	community	products	percent	teachers	myopia
11	more	diseases	project	work	life	conference	different	global	hku.hk	real	outstanding	shopping	rate	people	average
12	ceremony	surgery	chinese	researchers	service	enquiries	industry	political	history	goods	distinguished	local	market	education	solar
13	support	stroke	field	published	environmental	contact	products	month	species	projected	hku.hk	quality	index	subjects	contact
14	world	research	technologies	novel	project	time	using	business	cultural	last	tel	product	property	results	employment
15	first	years	researchers	such	education	website	materials	major	artists	economic	support	more	housing	health	light
16	campus	medical	such	other	development	including	process	current	painting	economy	academic	safety	viruses	primary	increase
17	learning	diabetes	science	deaf	members	scholars	other	policy	paintings	demand	award	mainland	research	secondary	high
18	research	screening	leading	gene	local	amp	gold	survey	children	compared	many	study	confidence	level	data
19	international	therapy	areas	important	more	pm	first	level	tree	unemployment	email	water	economic	age	team
20	design	heart	including	discovery	management	share	designed	countries	japanese	first	awarded	survey	according	other	dental
21	years	cases	applications	genes	issues	first	production	in-between	free	whole	first	performance	overall	findings	water
22	graduates	patient	new	study	environment	event	fabric	figures	years	second	ceremony	customer	residents	score	salary
23	teaching	symptoms	papers	diseases	provide	more	innovative	report	such	investment	including	air	more	learning	carbon
24	university	high	urban	protein	training	members	such	results	ceremony	months	today	industry	interest	average	lenses
25	including	such	industry	biology	promote	students	electrical	panel	held	consumption	honorary	other	findings	mathematics	cost
26	other	common	number	stem	knowledge	p.m.	memory	market	fish	spending	please	brands	important	time	higher
27	knowledge	more	first	drug	sustainable	welcome	textile	rating	details	inflation	appointed	project	infection	group	results
28	experience	results	team	first	society	free	construction	other	please	half	international	level	prices	suicide	research
29	amp	severe	other	international	participants	talk	tool	sports	reading	imports	staff	such	conducted	physical	such
30	exchange	drug	scientific	journal	government	world	support	issues	museum	due	awards	branding	points	having	job
31	chinese	control	developed	understanding	medical	music	surface	amp	visitors	same	teaching	tourists	high	help	years
32	today	surgical	published	led	help	follows	human	governance	time	forecasts	achievements	customers	months	years	environmental
33	top	population	more	cancer	different	book	held	including	different	percentage	conferred	high	industry	life	new
34	universities	people	network	sign	experts	information	invention	trust	period	period	enquiries	countries	public	activities	smokers
35	activities	group	time	disease	future	campus	method	significant	contemporary	total	served	nutrition	year	sex	power
36	local	cause	years	years	professionals	media	novel	time	present	table	work	environment	better	conducted	vision
37	mainland	effective	software	including	other	speakers	making	different	early	drop	amp	universe	future	work	researchers
38	event	health	journals	leading	needs	email	shape	years	artist	consumer	media	particles	published	performance	studies
39	training	team	management	chemical	policy	give	winning	response	calligraphy	fall	donation	waves	results	sexual	night
40	alumni	associated	computer	drugs	awareness	cultural	examination	review	visual	external	contact	detectors	recent	such	other
41	institutions	pain	control	mechanisms	aims	available	development	members	first	rates	world	agricultural	same	women	employed
42	community	test	theory	clinical	green	present	fabrics	performance	http	market	service	spending	viral	abuse	time
43	global	other	quality	biological	change	audience	images	final	hours	quarterly	causa	visitors	increase	information	degree
44	schools	death	monitoring	genome	projects	arts	water	asian	ancient	global	honour	results	conditions	young	green
45	staff	body	award	findings	such	venue	sophisticated	role	artistic	private	established	marginal	residential	mental	low
46	opportunities	first	sensing	potential	nursing	other	platform	meeting	characters	continue	degrees	fashion	compared	admitted	first
47	professional	factors	area	mechanism	programme	registration	breakthrough	parties	information	basis	significant	increase	expected	table	temperature
48	various	studies	applied	chemistry	new	hold	workers	study	written	services	society	years	respiratory	scores	further
49	management	age	collaboration	medical	including	people	lunar	last	linguistics	sales	appointment	preference	level	skills	lens
