	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
students	0.034665632992982864	0.0	0.0	0.0	0.0	0.004996797535568476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02448943257331848	0.0
year	0.009363957680761814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02175205945968628	0.0	0.0	0.0033654924482107162	0.0	0.0
programme	0.00910765491425991	0.0	0.0	0.0	0.0025249584577977657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
programmes	0.008533150888979435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
education	0.008397815749049187	0.0	0.0	0.0	0.004937521182000637	0.0	0.0	0.0	0.0	0.0	0.009160071611404419	0.0	0.0	0.006980605889111757	0.0
business	0.007663328666239977	0.0	0.0	0.0	0.0	0.0	0.0	0.0047523388639092445	0.0	0.0	0.0	0.0	0.0	0.0	0.0
new	0.007062063552439213	0.0053755841217935085	0.003938168287277222	0.010332763195037842	0.0025128573179244995	0.0	0.00861318688839674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028218068182468414
academic	0.006361314095556736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007129097823053598	0.0	0.0	0.0	0.0
development	0.006127818021923304	0.0	0.005652882624417543	0.0064810155890882015	0.004872909747064114	0.0	0.0024515476543456316	0.0	0.0	0.0	0.009124205447733402	0.0	0.0	0.0	0.0
student	0.005592615809291601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
industry	0.005573858506977558	0.0	0.003670359496027231	0.0	0.0	0.0	0.004989893175661564	0.0	0.0	0.0	0.0	0.0032619331032037735	0.0036019706167280674	0.0	0.0
more	0.005497648846358061	0.0036721655633300543	0.002923138439655304	0.0	0.004142016638070345	0.005091371946036816	0.0	0.0	0.0	0.0	0.0	0.0043214838951826096	0.00434955395758152	0.00754725094884634	0.005343572702258825
ceremony	0.005448885727673769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003519824706017971	0.0	0.005751403979957104	0.0	0.0	0.0	0.0
support	0.005437540356069803	0.0	0.0	0.0	0.006718951743096113	0.0	0.0029566027224063873	0.0	0.0	0.0	0.007340685464441776	0.0	0.0	0.0	0.0
world	0.005313734989613295	0.0	0.006170754320919514	0.0	0.0	0.004329876974225044	0.0	0.0064451731741428375	0.0	0.0	0.004043789114803076	0.0	0.0	0.0	0.0
first	0.004919960163533688	0.0025562900118529797	0.003399347886443138	0.0033243780490010977	0.0	0.005308688618242741	0.00392960524186492	0.0	0.0026824057567864656	0.00598530238494277	0.005815100856125355	0.0	0.0	0.0	0.002257909392938018
campus	0.0048932842910289764	0.0	0.0	0.0	0.0	0.003974985796958208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
learning	0.004632286261767149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004316967912018299	0.0
research	0.004491937812417746	0.004776364658027887	0.036958590149879456	0.03404626250267029	0.00891392957419157	0.0	0.0	0.0	0.0	0.0	0.010987121611833572	0.007110188249498606	0.00513734994456172	0.0	0.0032737567089498043
international	0.004472295753657818	0.0	0.00494341691955924	0.003173164092004299	0.0	0.0	0.0	0.00622742623090744	0.0	0.0	0.005084313452243805	0.0	0.0	0.0	0.0
design	0.0043624876998364925	0.0	0.0	0.0	0.0	0.0	0.007921273820102215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
years	0.004080581944435835	0.004766231868416071	0.0027657360769808292	0.002674310700967908	0.0	0.0	0.0	0.002977268537506461	0.003642057301476598	0.0	0.014821216464042664	0.002004851819947362	0.0	0.003663182258605957	0.003146982751786709
graduates	0.00396212562918663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007986845448613167
teaching	0.003961458336561918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004727401304990053	0.0	0.0	0.0	0.0
university	0.003926701843738556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
including	0.003890186781063676	0.0	0.004030935931950808	0.002653431612998247	0.0024852119386196136	0.005986829288303852	0.0	0.003278956050053239	0.0	0.0	0.005511217284947634	0.0	0.0	0.0	0.0
